Generated by http://statistics.gov.scot,2024-09-09T17:52:02+00:00,,
http://statistics.gov.scot/id/statistical-geography/S01011386,Craigneuk Wishaw - 05,34.54,33.2
http://statistics.gov.scot/id/statistical-geography/S01011387,Craigneuk Wishaw - 06,39.11,38.26
http://statistics.gov.scot/id/statistical-geography/S01009696,Craigrothie and Ceres West,2.43,2.94
http://statistics.gov.scot/id/statistical-geography/S01013303,Craigshill - 01,8.64,18.28
http://statistics.gov.scot/id/statistical-geography/S01013304,Craigshill - 02,13.96,29.23
http://statistics.gov.scot/id/statistical-geography/S01013305,Craigshill - 03,17.2,37.15
http://statistics.gov.scot/id/statistical-geography/S01013306,Craigshill - 04,16.62,40.04
http://statistics.gov.scot/id/statistical-geography/S01013307,Craigshill - 05,11.46,28.66
http://statistics.gov.scot/id/statistical-geography/S01013308,Craigshill - 06,8.76,19.09
http://statistics.gov.scot/id/statistical-geography/S01009848,Craigton - 01,17.94,19.02
http://statistics.gov.scot/id/statistical-geography/S01009849,Craigton - 02,92.57,98.86
http://statistics.gov.scot/id/statistical-geography/S01009850,Craigton - 03,99.13,98.65
http://statistics.gov.scot/id/statistical-geography/S01009851,Craigton - 04,52.76,52.83
http://statistics.gov.scot/id/statistical-geography/S01009714,Crail North,6.77,12.82
http://statistics.gov.scot/id/statistical-geography/S01009713,Crail South and Fife Ness,3.55,6.83
http://statistics.gov.scot/id/statistical-geography/S01008941,Cramond - 01,12.58,12.43
http://statistics.gov.scot/id/statistical-geography/S01008942,Cramond - 02,18.94,18.73
http://statistics.gov.scot/id/statistical-geography/S01008943,Cramond - 03,10.73,10.6
http://statistics.gov.scot/id/statistical-geography/S01010156,"Cranhill, Lightburn and Queenslie South - 01",22.44,22.8
http://statistics.gov.scot/id/statistical-geography/S01010157,"Cranhill, Lightburn and Queenslie South - 02",27.77,27.6
http://statistics.gov.scot/id/statistical-geography/S01010158,"Cranhill, Lightburn and Queenslie South - 03",27.61,27.44
http://statistics.gov.scot/id/statistical-geography/S01010159,"Cranhill, Lightburn and Queenslie South - 04",26.56,28.36
http://statistics.gov.scot/id/statistical-geography/S01010160,"Cranhill, Lightburn and Queenslie South - 05",7.75,8.49
http://statistics.gov.scot/id/statistical-geography/S01010161,"Cranhill, Lightburn and Queenslie South - 06",16.41,16.04
http://statistics.gov.scot/id/statistical-geography/S01010162,"Cranhill, Lightburn and Queenslie South - 07",27.96,30.33
http://statistics.gov.scot/id/statistical-geography/S01010163,"Cranhill, Lightburn and Queenslie South - 08",9.92,9.71
http://statistics.gov.scot/id/statistical-geography/S01010164,"Cranhill, Lightburn and Queenslie South - 09",8.72,11.86
http://statistics.gov.scot/id/statistical-geography/S01012302,Cranshaws - Abbey St Bathans Area,0,0
http://statistics.gov.scot/id/statistical-geography/S01006869,Crathes and Torphins - 01,3.67,4.61
http://statistics.gov.scot/id/statistical-geography/S01006870,Crathes and Torphins - 02,1.04,1.06
http://statistics.gov.scot/id/statistical-geography/S01006871,Crathes and Torphins - 03,2.22,2.09
http://statistics.gov.scot/id/statistical-geography/S01006872,Crathes and Torphins - 04,1.31,0.69
http://statistics.gov.scot/id/statistical-geography/S01006873,Crathes and Torphins - 05,0.72,0.88
http://statistics.gov.scot/id/statistical-geography/S01006874,Crathes and Torphins - 06,0.36,0.35
http://statistics.gov.scot/id/statistical-geography/S01011862,Crieff North - 01,2.19,2.84
http://statistics.gov.scot/id/statistical-geography/S01011863,Crieff North - 02,5.01,7.26
http://statistics.gov.scot/id/statistical-geography/S01011864,Crieff North - 03,2.78,4.06
http://statistics.gov.scot/id/statistical-geography/S01011865,Crieff North - 04,7.81,11.34
http://statistics.gov.scot/id/statistical-geography/S01011866,Crieff South - 01,1.23,1.29
http://statistics.gov.scot/id/statistical-geography/S01011867,Crieff South - 02,1.23,1.79
http://statistics.gov.scot/id/statistical-geography/S01011868,Crieff South - 03,8.92,13.51
http://statistics.gov.scot/id/statistical-geography/S01011869,Crieff South - 04,13.25,18.79
http://statistics.gov.scot/id/statistical-geography/S01011870,Crieff South - 05,5.6,9.47
http://statistics.gov.scot/id/statistical-geography/S01006875,Cromar and Kildrummy - 01,0.4,0.41
http://statistics.gov.scot/id/statistical-geography/S01006876,Cromar and Kildrummy - 02,0.64,0.56
http://statistics.gov.scot/id/statistical-geography/S01006877,Cromar and Kildrummy - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01006878,Cromar and Kildrummy - 04,0.51,0.53
http://statistics.gov.scot/id/statistical-geography/S01006879,Cromar and Kildrummy - 05,0.01,0.01
http://statistics.gov.scot/id/statistical-geography/S01009283,Crombie,3.2,6.01
http://statistics.gov.scot/id/statistical-geography/S01008328,Crookfur and Fruin - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01008329,Crookfur and Fruin - 02,2.02,2.02
http://statistics.gov.scot/id/statistical-geography/S01008330,Crookfur and Fruin - 03,4.68,4.68
http://statistics.gov.scot/id/statistical-geography/S01008331,Crookfur and Fruin - 04,19.92,19.92
http://statistics.gov.scot/id/statistical-geography/S01008332,Crookfur and Fruin - 05,5.73,6.39
http://statistics.gov.scot/id/statistical-geography/S01008333,Crookfur and Fruin - 06,8.04,7.82
http://statistics.gov.scot/id/statistical-geography/S01008334,Crookfur and Fruin - 07,2.22,2.32
http://statistics.gov.scot/id/statistical-geography/S01009788,Crookston North - 01,28.89,25.69
http://statistics.gov.scot/id/statistical-geography/S01009789,Crookston North - 02,55.95,51.89
http://statistics.gov.scot/id/statistical-geography/S01009790,Crookston North - 03,18.73,17.17
http://statistics.gov.scot/id/statistical-geography/S01009791,Crookston North - 04,9.27,9.65
http://statistics.gov.scot/id/statistical-geography/S01009784,Crookston South - 01,5.88,5.6
http://statistics.gov.scot/id/statistical-geography/S01009785,Crookston South - 02,29.82,27.42
http://statistics.gov.scot/id/statistical-geography/S01009786,Crookston South - 03,36.97,35.66
http://statistics.gov.scot/id/statistical-geography/S01009787,Crookston South - 04,42.65,50.7
http://statistics.gov.scot/id/statistical-geography/S01008303,Cross Stobbs - 01,48.3,45.4
http://statistics.gov.scot/id/statistical-geography/S01008304,Cross Stobbs - 02,10.58,10.98
http://statistics.gov.scot/id/statistical-geography/S01008305,Cross Stobbs - 03,17.04,9.05
http://statistics.gov.scot/id/statistical-geography/S01008306,Cross Stobbs - 04,24.89,22.51
http://statistics.gov.scot/id/statistical-geography/S01008307,Cross Stobbs - 05,13.84,12.61
http://statistics.gov.scot/id/statistical-geography/S01008308,Cross Stobbs - 06,32.54,24.28
http://statistics.gov.scot/id/statistical-geography/S01009289,Crossford East and Berrylaw,10.02,17.23
http://statistics.gov.scot/id/statistical-geography/S01009291,Crossford South,3.81,4.39
http://statistics.gov.scot/id/statistical-geography/S01009290,Crossford West,3.47,4.95
http://statistics.gov.scot/id/statistical-geography/S01012615,"Crossford, Braidwood and Yieldshields - 01",1.98,1.98
http://statistics.gov.scot/id/statistical-geography/S01012616,"Crossford, Braidwood and Yieldshields - 02",3.89,3.84
http://statistics.gov.scot/id/statistical-geography/S01012617,"Crossford, Braidwood and Yieldshields - 03",0,0
http://statistics.gov.scot/id/statistical-geography/S01012618,"Crossford, Braidwood and Yieldshields - 04",0.92,1.28
http://statistics.gov.scot/id/statistical-geography/S01009406,Crossgates North,31.86,54.23
http://statistics.gov.scot/id/statistical-geography/S01009407,Crossgates North East,1.83,4.93
http://statistics.gov.scot/id/statistical-geography/S01009408,Crossgates North Knowe,8.17,13.94
http://statistics.gov.scot/id/statistical-geography/S01009405,Crossgates South Knowe and Annfield,0.31,0.5
http://statistics.gov.scot/id/statistical-geography/S01009430,Crosshill and Lochore South,22.74,42.58
http://statistics.gov.scot/id/statistical-geography/S01012963,Crosshouse and Lindsayfield - 01,4.93,5.15
http://statistics.gov.scot/id/statistical-geography/S01012964,Crosshouse and Lindsayfield - 02,4.36,4.55
http://statistics.gov.scot/id/statistical-geography/S01012965,Crosshouse and Lindsayfield - 03,9.78,10.3
http://statistics.gov.scot/id/statistical-geography/S01012966,Crosshouse and Lindsayfield - 04,18.82,20.85
http://statistics.gov.scot/id/statistical-geography/S01012967,Crosshouse and Lindsayfield - 05,5.59,7.4
http://statistics.gov.scot/id/statistical-geography/S01012968,Crosshouse and Lindsayfield - 06,6.57,6.57
http://statistics.gov.scot/id/statistical-geography/S01012969,Crosshouse and Lindsayfield - 07,13.76,12.8
http://statistics.gov.scot/id/statistical-geography/S01008025,"Crosshouse, Gatehead and Kilmaurs Rural - 01",1.69,1.69
http://statistics.gov.scot/id/statistical-geography/S01008026,"Crosshouse, Gatehead and Kilmaurs Rural - 02",22.71,18.61
http://statistics.gov.scot/id/statistical-geography/S01008027,"Crosshouse, Gatehead and Kilmaurs Rural - 03",19.29,15.92
http://statistics.gov.scot/id/statistical-geography/S01008028,"Crosshouse, Gatehead and Kilmaurs Rural - 04",2.6,2.6
http://statistics.gov.scot/id/statistical-geography/S01008029,"Crosshouse, Gatehead and Kilmaurs Rural - 05",5.73,4.9
http://statistics.gov.scot/id/statistical-geography/S01007065,Cruden - 01,1.7,1.87
http://statistics.gov.scot/id/statistical-geography/S01007066,Cruden - 02,0.29,0.3
http://statistics.gov.scot/id/statistical-geography/S01007067,Cruden - 03,2.43,2.7
http://statistics.gov.scot/id/statistical-geography/S01007068,Cruden - 04,3,3.21
http://statistics.gov.scot/id/statistical-geography/S01007069,Cruden - 05,5.59,6.84
http://statistics.gov.scot/id/statistical-geography/S01007070,Cruden - 06,6.13,7.39
http://statistics.gov.scot/id/statistical-geography/S01007071,Cruden - 07,0,0
http://statistics.gov.scot/id/statistical-geography/S01011065,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 01",0.87,1.02
http://statistics.gov.scot/id/statistical-geography/S01011066,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 02",1.68,2.06
http://statistics.gov.scot/id/statistical-geography/S01011067,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 03",1.48,1.87
http://statistics.gov.scot/id/statistical-geography/S01011068,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 04",2.56,3.1
http://statistics.gov.scot/id/statistical-geography/S01011069,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 05",2.95,3.67
http://statistics.gov.scot/id/statistical-geography/S01011070,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 06",3.75,4.08
http://statistics.gov.scot/id/statistical-geography/S01011071,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 07",4.23,5.19
http://statistics.gov.scot/id/statistical-geography/S01011072,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 08",1.01,1
http://statistics.gov.scot/id/statistical-geography/S01009282,Culross and Low Valleyfield,3.98,5.48
http://statistics.gov.scot/id/statistical-geography/S01006506,Culter - 01,21.29,22.28
http://statistics.gov.scot/id/statistical-geography/S01006507,Culter - 02,26.84,20.17
http://statistics.gov.scot/id/statistical-geography/S01006508,Culter - 03,17.04,14.69
http://statistics.gov.scot/id/statistical-geography/S01006509,Culter - 04,6.16,4.4
http://statistics.gov.scot/id/statistical-geography/S01006510,Culter - 05,16.59,13.78
http://statistics.gov.scot/id/statistical-geography/S01006511,Culter - 06,13.68,11.71
http://statistics.gov.scot/id/statistical-geography/S01006512,Culter - 07,2.67,1.92
http://statistics.gov.scot/id/statistical-geography/S01006518,"Cults, Bieldside and Milltimber East - 01",17.39,15.12
http://statistics.gov.scot/id/statistical-geography/S01006519,"Cults, Bieldside and Milltimber East - 02",2.61,2.31
http://statistics.gov.scot/id/statistical-geography/S01006520,"Cults, Bieldside and Milltimber East - 03",0,0
http://statistics.gov.scot/id/statistical-geography/S01006521,"Cults, Bieldside and Milltimber East - 04",4.27,3.81
http://statistics.gov.scot/id/statistical-geography/S01006522,"Cults, Bieldside and Milltimber East - 05",8.26,7.36
http://statistics.gov.scot/id/statistical-geography/S01006523,"Cults, Bieldside and Milltimber East - 06",18.39,16.16
http://statistics.gov.scot/id/statistical-geography/S01006524,"Cults, Bieldside and Milltimber East - 07",20.61,18.2
http://statistics.gov.scot/id/statistical-geography/S01006525,"Cults, Bieldside and Milltimber East - 08",14.4,12.77
http://statistics.gov.scot/id/statistical-geography/S01006513,"Cults, Bieldside and Milltimber West - 01",8.22,7.21
http://statistics.gov.scot/id/statistical-geography/S01006514,"Cults, Bieldside and Milltimber West - 02",13.99,9.35
http://statistics.gov.scot/id/statistical-geography/S01006515,"Cults, Bieldside and Milltimber West - 03",0,0
http://statistics.gov.scot/id/statistical-geography/S01006516,"Cults, Bieldside and Milltimber West - 04",12.05,11.96
http://statistics.gov.scot/id/statistical-geography/S01006517,"Cults, Bieldside and Milltimber West - 05",0,0.01
http://statistics.gov.scot/id/statistical-geography/S01011744,Cumbernauld Central - 01,9.88,19.41
http://statistics.gov.scot/id/statistical-geography/S01011745,Cumbernauld Central - 02,6.96,19.01
http://statistics.gov.scot/id/statistical-geography/S01011746,Cumbernauld Central - 03,15.24,10.36
http://statistics.gov.scot/id/statistical-geography/S01011747,Cumbernauld Central - 04,9.75,13.83
http://statistics.gov.scot/id/statistical-geography/S01011748,Cumbernauld Central - 05,11.43,13.62
http://statistics.gov.scot/id/statistical-geography/S01011749,Cumbernauld Central - 06,8.16,10.41
http://statistics.gov.scot/id/statistical-geography/S01006714,Cummings Park - 01,48.58,57.38
http://statistics.gov.scot/id/statistical-geography/S01006715,Cummings Park - 02,39.54,23.6
http://statistics.gov.scot/id/statistical-geography/S01006716,Cummings Park - 03,47.79,42.05
http://statistics.gov.scot/id/statistical-geography/S01006717,Cummings Park - 04,39.77,37.51
http://statistics.gov.scot/id/statistical-geography/S01006718,Cummings Park - 05,51.45,38.83
http://statistics.gov.scot/id/statistical-geography/S01007916,Cumnock North - 01,10.18,8.5
http://statistics.gov.scot/id/statistical-geography/S01007917,Cumnock North - 02,9.05,9.98
http://statistics.gov.scot/id/statistical-geography/S01007918,Cumnock North - 03,9.09,7.32
http://statistics.gov.scot/id/statistical-geography/S01007919,Cumnock North - 04,6.02,3
http://statistics.gov.scot/id/statistical-geography/S01007920,Cumnock North - 05,2,0.79
http://statistics.gov.scot/id/statistical-geography/S01007897,Cumnock Rural - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007898,Cumnock Rural - 02,0.64,0.64
http://statistics.gov.scot/id/statistical-geography/S01007899,Cumnock Rural - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01007900,Cumnock Rural - 04,3.67,3.66
http://statistics.gov.scot/id/statistical-geography/S01007901,Cumnock Rural - 05,2.95,3.46
http://statistics.gov.scot/id/statistical-geography/S01007902,Cumnock Rural - 06,4.8,4.8
http://statistics.gov.scot/id/statistical-geography/S01007903,Cumnock Rural - 07,4.13,4.23
http://statistics.gov.scot/id/statistical-geography/S01007904,Cumnock Rural - 08,0.33,0
http://statistics.gov.scot/id/statistical-geography/S01007909,Cumnock South and Craigens - 01,6.06,6.06
http://statistics.gov.scot/id/statistical-geography/S01007910,Cumnock South and Craigens - 02,3.55,3.13
http://statistics.gov.scot/id/statistical-geography/S01007911,Cumnock South and Craigens - 03,7.66,5.71
http://statistics.gov.scot/id/statistical-geography/S01007912,Cumnock South and Craigens - 04,5.58,4.8
http://statistics.gov.scot/id/statistical-geography/S01007913,Cumnock South and Craigens - 05,11.36,8.8
http://statistics.gov.scot/id/statistical-geography/S01007914,Cumnock South and Craigens - 06,3.58,3.68
http://statistics.gov.scot/id/statistical-geography/S01007915,Cumnock South and Craigens - 07,3.37,3.54
http://statistics.gov.scot/id/statistical-geography/S01009692,Cupar East,8.51,15.98
http://statistics.gov.scot/id/statistical-geography/S01009690,Cupar North,5.97,8.95
http://statistics.gov.scot/id/statistical-geography/S01009688,Cupar North West,4.01,4.23
http://statistics.gov.scot/id/statistical-geography/S01009687,Cupar Northern,5.62,6.24
http://statistics.gov.scot/id/statistical-geography/S01009694,Cupar South South East,1.49,1.46
http://statistics.gov.scot/id/statistical-geography/S01009686,Cupar South West,11.11,17.29
http://statistics.gov.scot/id/statistical-geography/S01009691,Cupar Station and Meadowside,7.74,11.68
http://statistics.gov.scot/id/statistical-geography/S01009693,Cupar Tarvit,0.6,0.57
http://statistics.gov.scot/id/statistical-geography/S01009689,Cupar West,10.04,15.89
http://statistics.gov.scot/id/statistical-geography/S01009683,Cupar Westfield,9.19,13.88
http://statistics.gov.scot/id/statistical-geography/S01009682,Cupar Westfield South,1.66,1.85
http://statistics.gov.scot/id/statistical-geography/S01008429,Currie East - 01,19.78,18.89
http://statistics.gov.scot/id/statistical-geography/S01008430,Currie East - 02,31.76,31.19
http://statistics.gov.scot/id/statistical-geography/S01008431,Currie East - 03,7.44,7.31
http://statistics.gov.scot/id/statistical-geography/S01008432,Currie East - 04,14.03,13.73
http://statistics.gov.scot/id/statistical-geography/S01008425,Currie West - 01,3.89,4.15
http://statistics.gov.scot/id/statistical-geography/S01008426,Currie West - 02,10.02,9.75
http://statistics.gov.scot/id/statistical-geography/S01008427,Currie West - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01008428,Currie West - 04,23.54,23.09
http://statistics.gov.scot/id/statistical-geography/S01009697,Dairsie and Kemback,4.32,9.31
http://statistics.gov.scot/id/statistical-geography/S01007539,Dalbeattie - 01,7.64,7.64
http://statistics.gov.scot/id/statistical-geography/S01007540,Dalbeattie - 02,6.91,6.52
http://statistics.gov.scot/id/statistical-geography/S01007541,Dalbeattie - 03,3.94,3.97
http://statistics.gov.scot/id/statistical-geography/S01007542,Dalbeattie - 04,6.6,7.13
http://statistics.gov.scot/id/statistical-geography/S01007543,Dalbeattie - 05,4.9,5.33
http://statistics.gov.scot/id/statistical-geography/S01007544,Dalbeattie Rural - 01,0.4,0.4
http://statistics.gov.scot/id/statistical-geography/S01007545,Dalbeattie Rural - 02,0.85,0.91
http://statistics.gov.scot/id/statistical-geography/S01007546,Dalbeattie Rural - 03,0.24,0.18
http://statistics.gov.scot/id/statistical-geography/S01009395,Dalgety Bay East,7.33,12.53
http://statistics.gov.scot/id/statistical-geography/S01009396,Dalgety Bay South East,5.62,12.12
http://statistics.gov.scot/id/statistical-geography/S01009398,Dalgety Bogend Wood,12.17,22.23
http://statistics.gov.scot/id/statistical-geography/S01009402,Dalgety Crow Hill,7.65,15.01
http://statistics.gov.scot/id/statistical-geography/S01009400,Dalgety Donibristle South,17.38,37.67
http://statistics.gov.scot/id/statistical-geography/S01009403,Dalgety Donibristle and Hillend,9.04,14.37
http://statistics.gov.scot/id/statistical-geography/S01009392,Dalgety Letham Farm,15.84,28.42
http://statistics.gov.scot/id/statistical-geography/S01009391,Dalgety Letham Hill,18.77,32.6
http://statistics.gov.scot/id/statistical-geography/S01009390,Dalgety Letham Hill South,9.29,15.2
http://statistics.gov.scot/id/statistical-geography/S01009399,Dalgety Longhill Park,9.34,17.1
http://statistics.gov.scot/id/statistical-geography/S01009401,Dalgety Ross Plantation,4.93,9.34
http://statistics.gov.scot/id/statistical-geography/S01009397,Dalgety St Davids Clump,5.02,8.51
http://statistics.gov.scot/id/statistical-geography/S01009394,Dalgety Steeple Clump,8.4,12.86
http://statistics.gov.scot/id/statistical-geography/S01011010,Dalkeith - 01,58.61,59.5
http://statistics.gov.scot/id/statistical-geography/S01011011,Dalkeith - 02,19.82,19.02
http://statistics.gov.scot/id/statistical-geography/S01011012,Dalkeith - 03,31.81,27.23
http://statistics.gov.scot/id/statistical-geography/S01011013,Dalkeith - 04,38.92,32.18
http://statistics.gov.scot/id/statistical-geography/S01010046,Dalmarnock - 01,19.17,17.65
http://statistics.gov.scot/id/statistical-geography/S01010047,Dalmarnock - 02,45.41,47.38
http://statistics.gov.scot/id/statistical-geography/S01010048,Dalmarnock - 03,34.3,33.42
http://statistics.gov.scot/id/statistical-geography/S01008997,"Dalmeny, Kirkliston and Newbridge - 01",10.4,14.3
http://statistics.gov.scot/id/statistical-geography/S01008998,"Dalmeny, Kirkliston and Newbridge - 02",6.24,8.34
http://statistics.gov.scot/id/statistical-geography/S01008999,"Dalmeny, Kirkliston and Newbridge - 03",17.42,34.22
http://statistics.gov.scot/id/statistical-geography/S01009000,"Dalmeny, Kirkliston and Newbridge - 04",8.44,16.28
http://statistics.gov.scot/id/statistical-geography/S01009001,"Dalmeny, Kirkliston and Newbridge - 05",8.7,10.65
http://statistics.gov.scot/id/statistical-geography/S01009002,"Dalmeny, Kirkliston and Newbridge - 06",3.3,3.45
http://statistics.gov.scot/id/statistical-geography/S01012496,Dalmilling - 01,21.66,7.13
http://statistics.gov.scot/id/statistical-geography/S01012497,Dalmilling - 02,43.77,18.14
http://statistics.gov.scot/id/statistical-geography/S01012498,Dalmilling - 03,15.85,6.22
http://statistics.gov.scot/id/statistical-geography/S01012499,Dalmilling - 04,10.21,5.19
http://statistics.gov.scot/id/statistical-geography/S01013164,Dalmuir - 01,12.1,12.37
http://statistics.gov.scot/id/statistical-geography/S01013165,Dalmuir - 02,13.87,14.17
http://statistics.gov.scot/id/statistical-geography/S01013166,Dalmuir - 03,51.11,53.13
http://statistics.gov.scot/id/statistical-geography/S01013167,Dalmuir - 04,64.3,68.82
http://statistics.gov.scot/id/statistical-geography/S01013168,Dalmuir - 05,33.37,33.37
http://statistics.gov.scot/id/statistical-geography/S01013169,Dalmuir - 06,27.96,28.65
http://statistics.gov.scot/id/statistical-geography/S01013170,Dalmuir - 07,23.32,23.96
http://statistics.gov.scot/id/statistical-geography/S01013199,Dalreoch - 01,23.72,26.11
http://statistics.gov.scot/id/statistical-geography/S01013200,Dalreoch - 02,33.34,33.34
http://statistics.gov.scot/id/statistical-geography/S01013201,Dalreoch - 03,9.49,9.49
http://statistics.gov.scot/id/statistical-geography/S01013202,Dalreoch - 04,9.73,14.22
http://statistics.gov.scot/id/statistical-geography/S01013203,Dalreoch - 05,10.31,16.89
http://statistics.gov.scot/id/statistical-geography/S01013204,Dalreoch - 06,6.79,6.79
http://statistics.gov.scot/id/statistical-geography/S01013205,Dalreoch - 07,18.4,18.78
http://statistics.gov.scot/id/statistical-geography/S01013206,Dalreoch - 08,16.69,16.17
http://statistics.gov.scot/id/statistical-geography/S01011299,Dalry East and Rural - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01011300,Dalry East and Rural - 02,14.13,14.55
http://statistics.gov.scot/id/statistical-geography/S01011301,Dalry East and Rural - 03,6.99,6.58
http://statistics.gov.scot/id/statistical-geography/S01011302,Dalry East and Rural - 04,13.03,12.66
http://statistics.gov.scot/id/statistical-geography/S01011303,Dalry West - 01,8.49,7.18
http://statistics.gov.scot/id/statistical-geography/S01011304,Dalry West - 02,11.26,11.51
http://statistics.gov.scot/id/statistical-geography/S01011305,Dalry West - 03,9.26,10.02
http://statistics.gov.scot/id/statistical-geography/S01011306,Dalry West - 04,9.88,9.96
http://statistics.gov.scot/id/statistical-geography/S01008651,Dalry and Fountainbridge - 01,121.32,124.4
http://statistics.gov.scot/id/statistical-geography/S01008652,Dalry and Fountainbridge - 02,103.71,105.54
http://statistics.gov.scot/id/statistical-geography/S01008653,Dalry and Fountainbridge - 03,153.78,144.52
http://statistics.gov.scot/id/statistical-geography/S01008654,Dalry and Fountainbridge - 04,172.19,163.83
http://statistics.gov.scot/id/statistical-geography/S01008655,Dalry and Fountainbridge - 05,129.13,121.97
http://statistics.gov.scot/id/statistical-geography/S01008656,Dalry and Fountainbridge - 06,136.1,123.94
http://statistics.gov.scot/id/statistical-geography/S01008657,Dalry and Fountainbridge - 07,178.14,172.11
http://statistics.gov.scot/id/statistical-geography/S01008658,Dalry and Fountainbridge - 08,67.33,79.08
http://statistics.gov.scot/id/statistical-geography/S01006756,Danestone - 01,3.32,5.59
http://statistics.gov.scot/id/statistical-geography/S01006757,Danestone - 02,15.16,22.36
http://statistics.gov.scot/id/statistical-geography/S01006758,Danestone - 03,5.86,14.77
http://statistics.gov.scot/id/statistical-geography/S01006759,Danestone - 04,9.79,17.71
http://statistics.gov.scot/id/statistical-geography/S01006760,Danestone - 05,17.74,24.86
http://statistics.gov.scot/id/statistical-geography/S01006761,Danestone - 06,11.64,16.25
http://statistics.gov.scot/id/statistical-geography/S01009758,Darnley East - 01,1.46,2.51
http://statistics.gov.scot/id/statistical-geography/S01009759,Darnley East - 02,33.6,28.45
http://statistics.gov.scot/id/statistical-geography/S01009760,Darnley East - 03,24.86,23.54
http://statistics.gov.scot/id/statistical-geography/S01009761,Darnley East - 04,12.68,9.76
http://statistics.gov.scot/id/statistical-geography/S01009762,Darnley East - 05,36.39,28.73
http://statistics.gov.scot/id/statistical-geography/S01009763,Darnley East - 06,0.63,0.78
http://statistics.gov.scot/id/statistical-geography/S01009764,Darnley North - 01,27.15,22.93
http://statistics.gov.scot/id/statistical-geography/S01009765,Darnley North - 02,18.23,15.7
http://statistics.gov.scot/id/statistical-geography/S01009766,Darnley North - 03,16.27,13.35
http://statistics.gov.scot/id/statistical-geography/S01009767,Darnley North - 04,27.85,26.31
http://statistics.gov.scot/id/statistical-geography/S01009768,Darnley West - 01,22.31,24.11
http://statistics.gov.scot/id/statistical-geography/S01009769,Darnley West - 02,30.31,25.14
http://statistics.gov.scot/id/statistical-geography/S01009770,Darnley West - 03,6.29,6.09
http://statistics.gov.scot/id/statistical-geography/S01009771,Darnley West - 04,4.78,4.78
http://statistics.gov.scot/id/statistical-geography/S01009772,Darnley West - 05,18.09,15.02
http://statistics.gov.scot/id/statistical-geography/S01009773,Darnley West - 06,12.04,10.1
http://statistics.gov.scot/id/statistical-geography/S01009774,Darnley West - 07,0,0
http://statistics.gov.scot/id/statistical-geography/S01007940,Darvel - 01,7.72,6.18
http://statistics.gov.scot/id/statistical-geography/S01007941,Darvel - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01007942,Darvel - 03,15.75,12.6
http://statistics.gov.scot/id/statistical-geography/S01007943,Darvel - 04,18.69,14.95
http://statistics.gov.scot/id/statistical-geography/S01007944,Darvel - 05,11.99,9.89
http://statistics.gov.scot/id/statistical-geography/S01007986,Dean and New Farm Loch North - 01,10.27,11.26
http://statistics.gov.scot/id/statistical-geography/S01007987,Dean and New Farm Loch North - 02,7.9,7.38
http://statistics.gov.scot/id/statistical-geography/S01007988,Dean and New Farm Loch North - 03,25.03,24.02
http://statistics.gov.scot/id/statistical-geography/S01007989,Dean and New Farm Loch North - 04,11.13,13.29
http://statistics.gov.scot/id/statistical-geography/S01007990,Dean and New Farm Loch North - 05,7.16,7.93
http://statistics.gov.scot/id/statistical-geography/S01013342,Deans - 01,7.91,25.06
http://statistics.gov.scot/id/statistical-geography/S01013343,Deans - 02,8.35,27.58
http://statistics.gov.scot/id/statistical-geography/S01013344,Deans - 03,5.06,22.93
http://statistics.gov.scot/id/statistical-geography/S01013345,Deans - 04,13.37,40.48
http://statistics.gov.scot/id/statistical-geography/S01008868,Deans Village - 01,236.81,262.53
http://statistics.gov.scot/id/statistical-geography/S01008869,Deans Village - 02,48.95,56.79
http://statistics.gov.scot/id/statistical-geography/S01008870,Deans Village - 03,8.98,13.12
http://statistics.gov.scot/id/statistical-geography/S01008871,Deans Village - 04,101.98,108.13
http://statistics.gov.scot/id/statistical-geography/S01008872,Deans Village - 05,128.58,128.46
http://statistics.gov.scot/id/statistical-geography/S01008873,Deans Village - 06,57.35,56.87
http://statistics.gov.scot/id/statistical-geography/S01008874,Deans Village - 07,58.27,57.42
http://statistics.gov.scot/id/statistical-geography/S01013277,Dedridge East - 01,6.43,4.25
http://statistics.gov.scot/id/statistical-geography/S01013278,Dedridge East - 02,8.87,7.29
http://statistics.gov.scot/id/statistical-geography/S01013279,Dedridge East - 03,15.01,29.18
http://statistics.gov.scot/id/statistical-geography/S01013280,Dedridge East - 04,13.6,19.11
http://statistics.gov.scot/id/statistical-geography/S01013281,Dedridge East - 05,18.5,29.95
